id,user,uid,version,changeset,timestamp
23809835,ZeLonewolf,219297,25,111734765,2021-09-26T18:05:57Z
23809850,ZeLonewolf,219297,14,111734765,2021-09-26T18:05:57Z
23809874,nickvet419,18480,13,80565410,2020-02-05T04:58:53Z
23809912,rdanouski_lyft,10907417,13,112403620,2021-10-12T07:16:31Z
23809965,nickvet419,18480,17,106047762,2021-06-08T16:46:20Z
23809966,nickvet419,18480,12,95834971,2020-12-14T21:54:46Z
23809967,vrynkevich_lyft,11904280,20,112366054,2021-10-11T09:40:25Z
23810097,akuksouski_lyft,12479290,18,112268404,2021-10-08T15:00:56Z
23810139,vrynkevich_lyft,11904280,24,112458425,2021-10-13T11:38:16Z
23810218,jimjoe45,604536,14,61413984,2018-08-06T19:50:18Z
23810226,keepright! ler,1731253,12,26796380,2014-11-15T11:30:02Z
23810295,nickvet419,18480,13,112447923,2021-10-13T07:32:58Z
23810299,lectrician1,8900953,31,102831948,2021-04-12T23:37:55Z
23810300,nickvet419,18480,13,77445818,2019-11-22T21:13:18Z
23810301,nickvet419,18480,12,77654818,2019-11-27T22:33:52Z
23810302,Elena Golovchenko,12347945,24,105663975,2021-06-01T08:12:41Z
23810303,akakhno_lyft,11249764,16,110954475,2021-09-09T06:44:59Z
23810306,nickvet419,18480,14,77654465,2019-11-27T22:08:44Z
23810307,Rallysta74,755543,22,63323879,2018-10-08T20:03:51Z
23810320,akuksouski_lyft,12479290,28,112268721,2021-10-08T15:09:29Z
23810324,nickvet419,18480,46,77445818,2019-11-22T21:13:18Z
23810327,nickvet419,18480,34,79732310,2020-01-18T14:29:05Z
23810350,nickvet419,18480,23,78535336,2019-12-17T15:57:49Z
23810354,nickvet419,18480,24,78120122,2019-12-08T22:06:21Z
23810364,Zol87,1237170,11,105123512,2021-05-22T08:40:41Z
23810369,Chris112233,5354676,20,79433675,2020-01-10T20:10:31Z
23810377,Zol87,1237170,15,95260080,2020-12-04T03:39:49Z
23810398,nickvet419,18480,36,77445818,2019-11-22T21:13:18Z
23810435,Chicago Park District GIS,927231,16,32454386,2015-07-06T17:48:40Z
23810459,nickvet419,18480,21,112447923,2021-10-13T07:32:58Z
23810462,ZeLonewolf,219297,20,111734765,2021-09-26T18:05:57Z
23810465,BurntSteam,11781769,26,112524634,2021-10-15T00:50:44Z
23810480,YuliyaShustava_lyft,11089099,11,112450426,2021-10-13T08:41:14Z
23810482,akakhno_lyft,11249764,10,97969324,2021-01-22T11:08:01Z
23810501,nickvet419,18480,16,112449317,2021-10-13T08:10:30Z
23810600,mappy123,15398,7,19779954,2014-01-03T03:41:59Z
23810649,nickvet419,18480,56,95898777,2020-12-15T20:18:43Z
23811127,nickvet419,18480,13,86630522,2020-06-14T17:19:58Z
23811277,Zol87,1237170,13,87271307,2020-06-29T05:27:31Z
23811281,Rallysta74,755543,20,62697287,2018-09-18T13:29:04Z
23825680,nickvet419,18480,13,112447923,2021-10-13T07:32:58Z
23825683,nickvet419,18480,10,106067312,2021-06-09T04:55:00Z
23825827,Rallysta74,755543,24,61584115,2018-08-12T10:13:15Z
23825832,pmarkina_lyft,12195744,25,104099735,2021-05-04T06:54:31Z
23825835,Yocomik,13633064,61,106989176,2021-06-26T03:32:50Z
23825841,Fluffy89502,10165657,17,96634384,2020-12-30T03:38:36Z
23825844,Zol87,1237170,14,102511804,2021-04-08T01:10:42Z
23825846,nickvet419,18480,9,80549341,2020-02-04T18:34:33Z
23825853,nickvet419,18480,24,80549341,2020-02-04T18:34:33Z
23825854,Zol87,1237170,19,109776908,2021-08-16T23:37:17Z
23825858,bommbabu,11676213,29,106459070,2021-06-16T10:30:54Z
23825877,nickvet419,18480,21,95744344,2020-12-13T05:27:49Z
23825880,kmarkish_lyft,11824233,25,112406413,2021-10-12T08:27:51Z
23825885,nickvet419,18480,25,100371221,2021-03-03T19:15:59Z
23825891,nickvet419,18480,18,100371221,2021-03-03T19:15:59Z
23852390,Yocomik,13633064,21,106989176,2021-06-26T03:32:50Z
23852420,Yocomik,13633064,22,106989176,2021-06-26T03:32:50Z
23852431,YuliyaShustava_lyft,11089099,22,112263815,2021-10-08T12:50:47Z
23852442,Yocomik,13633064,25,106989176,2021-06-26T03:32:50Z
23852444,Yocomik,13633064,22,106989176,2021-06-26T03:32:50Z
23852446,Yocomik,13633064,25,106989176,2021-06-26T03:32:50Z
23852447,Yocomik,13633064,22,106989176,2021-06-26T03:32:50Z
23852454,nickvet419,18480,14,78656549,2019-12-19T22:02:59Z
23883837,istvanv_telenav,4972028,16,51307914,2017-08-21T14:18:49Z
23887479,nickvet419,18480,20,77445818,2019-11-22T21:13:18Z
23887717,nickvet419,18480,23,77547359,2019-11-26T00:42:49Z
23888140,nickvet419,18480,23,77445818,2019-11-22T21:13:18Z
23888152,impiaaa,537798,16,87520113,2020-07-04T00:16:43Z
23888154,impiaaa,537798,25,87520119,2020-07-04T00:17:16Z
23888164,impiaaa,537798,16,87520106,2020-07-04T00:16:19Z
23888253,Zol87,1237170,27,90391411,2020-09-04T05:09:00Z
23888586,nickvet419,18480,10,80399465,2020-02-01T05:28:17Z
23888611,nickvet419,18480,12,77812945,2019-12-02T10:30:29Z
23888618,nickvet419,18480,6,77812945,2019-12-02T10:30:29Z
23888716,NE2,207745,20,13612305,2012-10-24T03:12:19Z
23888721,Stephen214,4018842,22,56511288,2018-02-20T06:32:13Z
23889144,vrynkevich_lyft,11904280,30,112505428,2021-10-14T13:59:38Z
23889162,nickvet419,18480,14,77445818,2019-11-22T21:13:18Z
23889936,clay_c,119881,12,92645484,2020-10-18T01:54:15Z
23890525,kmarkish_lyft,11824233,18,110887764,2021-09-08T04:22:13Z
23890539,nickvet419,18480,7,76603722,2019-11-04T16:35:58Z
23890546,nickvet419,18480,7,79388827,2020-01-09T18:22:54Z
23890902,A_Prokopova_lyft,10976496,15,111201960,2021-09-14T15:28:07Z
23890903,NastassiaKalesnikava,12900760,16,104296803,2021-05-07T07:22:21Z
23890906,nickvet419,18480,17,77654192,2019-11-27T21:55:06Z
23890929,NE2,207745,7,4691467,2010-05-13T22:52:17Z
23890930,Bravemidwesterner,12184954,13,96940794,2021-01-05T02:19:43Z
23890945,Phil Scherer,1087647,21,103701004,2021-04-27T11:05:49Z
23891004,lectrician1,8900953,29,104749265,2021-05-15T21:15:02Z
23891121,iandees,4732,62,64659920,2018-11-19T14:40:51Z
23891179,ENT8R,3755477,28,55009258,2017-12-29T12:59:05Z
23891457,clay_c,119881,25,92645484,2020-10-18T01:54:15Z
23891533,kmarkish_lyft,11824233,17,97901431,2021-01-21T11:35:05Z
23891544,kmarkish_lyft,11824233,20,111186451,2021-09-14T09:55:30Z
23891547,A_Prokopova_lyft,10976496,24,110866724,2021-09-07T15:27:25Z
23891553,nickvet419,18480,12,105519515,2021-05-29T05:28:49Z
23891555,Arcureil,7531719,9,59126056,2018-05-20T15:36:55Z
23891563,nickvet419,18480,16,78972917,2019-12-29T08:32:36Z
23891588,mappy123,15398,21,24356245,2014-07-25T19:09:35Z
23891592,TacoBeans44,5017627,15,63425802,2018-10-11T16:15:17Z
23891593,nickvet419,18480,10,78972963,2019-12-29T08:35:12Z
23891607,nickvet419,18480,11,78972917,2019-12-29T08:32:36Z
23891758,Zol87,1237170,9,26859071,2014-11-18T08:42:03Z
23891761,vrynkevich_lyft,11904280,22,110901068,2021-09-08T08:01:15Z
23891792,nickvet419,18480,14,77445818,2019-11-22T21:13:18Z
23891801,Arcureil,7531719,10,62858314,2018-09-23T18:26:29Z
23891848,Donny Castellanos,5498779,12,90104044,2020-08-29T01:54:02Z
23891850,Steven Vance,100042,7,43504016,2016-11-09T05:39:48Z
23891980,nickvet419,18480,5,80085891,2020-01-25T22:57:05Z
23924363,Eliyak,439046,10,37964634,2016-03-20T21:43:29Z
23924366,Steven Vance,100042,11,48292397,2017-04-30T20:47:54Z
23946710,nickvet419,18480,7,79455211,2020-01-11T16:11:14Z
23946711,nickvet419,18480,10,79455211,2020-01-11T16:11:14Z
23946714,nickvet419,18480,6,79455211,2020-01-11T16:11:14Z
23946716,nickvet419,18480,6,79455211,2020-01-11T16:11:14Z
23946717,nickvet419,18480,5,79455211,2020-01-11T16:11:14Z
23946724,Eliyak,439046,7,37964335,2016-03-20T21:23:52Z
23946748,nickvet419,18480,15,105889414,2021-06-05T16:27:15Z
23946750,nickvet419,18480,7,79455270,2020-01-11T16:14:08Z
23946751,nickvet419,18480,5,79210197,2020-01-05T11:27:14Z
23946779,Eliyak,439046,11,37961393,2016-03-20T18:40:05Z
23946786,tomkrizan,620455,16,108143135,2021-07-16T23:04:49Z
23946789,Arcureil,7531719,4,59126056,2018-05-20T15:36:57Z
23946806,nickvet419,18480,7,78972917,2019-12-29T08:32:36Z
23946807,nickvet419,18480,4,78656549,2019-12-19T22:02:59Z
23946819,nickvet419,18480,7,79210964,2020-01-05T12:06:12Z
23959239,Arcureil,7531719,6,59129516,2018-05-20T18:06:35Z
23959240,Arcureil,7531719,5,59129516,2018-05-20T18:06:35Z
23959245,Arcureil,7531719,7,59126056,2018-05-20T15:36:59Z
23959246,Arcureil,7531719,10,59129516,2018-05-20T18:06:35Z
23959253,nickvet419,18480,10,105988021,2021-06-07T17:54:42Z
23959255,Arcureil,7531719,6,59126056,2018-05-20T15:36:54Z
23959257,Arcureil,7531719,5,59196805,2018-05-23T03:22:03Z
23959260,Zol87,1237170,10,109487634,2021-08-11T00:17:26Z
23959286,naaitha,9259472,11,72125659,2019-07-11T09:14:47Z
23959315,mneko,158194,8,101533337,2021-03-22T23:25:02Z
23959316,mneko,158194,12,101533337,2021-03-22T23:25:02Z
23959359,Umbugbene,567034,7,11910430,2012-06-16T01:19:07Z
23959374,Umbugbene,567034,2,11910430,2012-06-16T01:19:07Z
23959382,Umbugbene,567034,2,11910430,2012-06-16T01:19:07Z
23959383,Umbugbene,567034,4,16894476,2013-07-10T02:53:58Z
23959384,Umbugbene,567034,4,16894476,2013-07-10T02:53:58Z
23959388,mneko,158194,8,101533337,2021-03-22T23:25:02Z
23959389,Umbugbene,567034,7,16894476,2013-07-10T02:53:59Z
23959390,mneko,158194,6,101533337,2021-03-22T23:25:02Z
23959395,mneko,158194,5,101533337,2021-03-22T23:25:02Z
23959396,Umbugbene,567034,7,16894476,2013-07-10T02:53:59Z
23959399,Umbugbene,567034,6,16894476,2013-07-10T02:53:59Z
23959400,Umbugbene,567034,5,11910430,2012-06-16T01:19:08Z
23959402,Umbugbene,567034,2,11017149,2012-03-18T10:45:31Z
23959744,encleadus,35667,2,256513,2008-04-25T05:19:48Z
23959748,encleadus,35667,2,256513,2008-04-25T05:20:22Z
23959753,jimjoe45,604536,5,56669456,2018-02-25T19:53:22Z
23986661,Mxdanger,7152372,13,99556158,2021-02-19T02:35:34Z
23986733,Zol87,1237170,18,90373519,2020-09-03T16:57:39Z
23987046,Zol87,1237170,18,107540470,2021-07-07T07:24:45Z
23987129,Arcureil,7531719,7,59126056,2018-05-20T15:36:55Z
23987158,Arcureil,7531719,6,59126056,2018-05-20T15:36:54Z
23987163,Arcureil,7531719,7,59225826,2018-05-23T22:18:14Z
23987164,Arcureil,7531719,7,59126056,2018-05-20T15:36:54Z
23987166,Arcureil,7531719,6,59126056,2018-05-20T15:36:54Z
23987220,Arcureil,7531719,9,59853860,2018-06-14T17:48:38Z
23987401,Arcureil,7531719,6,59129852,2018-05-20T18:24:35Z
23987404,nickvet419,18480,11,105863490,2021-06-04T22:49:28Z
23987459,ingalls,305985,17,57568222,2018-03-27T13:42:44Z
23987463,ingalls,305985,17,57568222,2018-03-27T13:42:44Z
23987505,nickvet419,18480,8,105588514,2021-05-31T00:41:23Z
23987517,nickvet419,18480,8,105588514,2021-05-31T00:41:23Z
23987519,nickvet419,18480,7,105863438,2021-06-04T22:47:09Z
23987556,Arcureil,7531719,8,59159628,2018-05-21T18:39:52Z
23989536,marthaleena,5659851,8,59963493,2018-06-19T04:43:47Z
23989540,Steven Vance,100042,7,48292397,2017-04-30T20:47:54Z
24067361,NE2,207745,3,4518796,2010-04-25T09:54:13Z
24067513,TeresaPeteti,5648480,7,53604890,2017-11-08T09:25:46Z
24067606,akakhno_lyft,11249764,9,100832264,2021-03-11T09:54:34Z
24067851,Iqhra,6371645,5,53604831,2017-11-08T09:23:41Z
24067852,kmarkish_lyft,11824233,7,97884888,2021-01-21T07:47:37Z
24067910,Umbugbene,567034,3,16894476,2013-07-10T03:21:28Z
24068077,YuliyaShustava_lyft,11089099,7,99721681,2021-02-22T07:18:25Z
24068199,YuliyaShustava_lyft,11089099,11,112122405,2021-10-05T12:58:16Z
24068291,ashleyannmathew,4994101,7,59963309,2018-06-19T04:34:14Z
24068339,Umbugbene,567034,4,11067051,2012-03-22T19:56:25Z
24068365,rdanouski_lyft,10907417,7,100758100,2021-03-10T07:33:28Z
24068371,Zol87,1237170,5,109532295,2021-08-11T18:33:26Z
24068541,venkanna37,5680733,7,53604882,2017-11-08T09:25:22Z
24068688,Zol87,1237170,11,41255414,2016-08-05T09:18:29Z
24068691,Zol87,1237170,5,65370807,2018-12-11T10:23:07Z
24069079,YTaulai_lyft,11396604,8,97774874,2021-01-19T14:18:12Z
24069233,cpligovka_lyft,11335781,13,99082303,2021-02-11T06:31:54Z
24069353,Zol87,1237170,5,109539726,2021-08-11T22:48:44Z
24069507,Umbugbene,567034,5,16334531,2013-05-29T08:23:53Z
24069911,TeresaPeteti,5648480,7,53601331,2017-11-08T07:02:24Z
24070128,YTaulai_lyft,11396604,10,99153578,2021-02-12T06:56:53Z
24070399,Zol87,1237170,33,109960219,2021-08-20T03:36:48Z
24070793,NE2,207745,5,4506464,2010-04-23T19:41:52Z
24070830,Steven Vance,100042,15,81175566,2020-02-18T14:22:55Z
24070980,headwatersolver,3521724,9,38985420,2016-04-29T17:53:43Z
24070981,Umbugbene,567034,7,18847959,2013-11-12T03:08:00Z
24070983,myparents,11165356,8,85160387,2020-05-13T18:43:48Z
24070985,myparents,11165356,8,85160387,2020-05-13T18:43:48Z
24071111,bbmiller,451048,9,21350744,2014-03-27T18:57:27Z
24071115,bbmiller,451048,7,21350744,2014-03-27T18:57:27Z
24071174,Rallysta74,755543,14,61687020,2018-08-15T14:21:27Z
24071290,navuddin,10173440,8,86540786,2020-06-12T03:25:07Z
24071294,vkatredd,10457697,7,84832386,2020-05-07T12:23:05Z
24071298,Zol87,1237170,12,97882140,2021-01-21T07:11:45Z
24071301,bbmiller,451048,9,17195575,2013-08-02T18:50:19Z
24071302,bbmiller,451048,3,17185413,2013-08-01T21:51:57Z
24071539,nickvet419,18480,12,112447923,2021-10-13T07:32:58Z
24071752,sinreeya,10127754,16,85420903,2020-05-19T06:57:32Z
24071819,Phil Scherer,1087647,31,103701818,2021-04-27T11:16:27Z
24072365,rkkasams,10271426,18,85020544,2020-05-11T11:02:50Z
24072366,sannkc,1561092,4,87531881,2020-07-04T13:47:41Z
24072656,arehaan,10208962,8,91323014,2020-09-23T00:34:04Z
24072839,bjnlm,10173446,7,74267441,2019-09-09T14:34:52Z
24072840,kirashas,10114003,8,81860031,2020-03-06T09:02:24Z
24072843,jdoniche,10173458,4,85000671,2020-05-11T05:52:29Z
24072844,boeleman81,1557342,4,17066027,2013-07-23T19:12:04Z
24072848,Steven Vance,100042,9,47987389,2017-04-21T00:08:06Z
24072849,Forest Gregg,603991,6,35622420,2015-11-28T04:52:28Z
24072850,ejjoshy,10173455,16,100597823,2021-03-08T01:58:11Z
24073001,erantr1,7154587,4,54566804,2017-12-12T13:47:31Z
24073002,erantr1,7154587,5,54566804,2017-12-12T13:47:31Z
24073580,jmilot,9342683,7,75165713,2019-10-01T18:15:47Z
